drug_1_name,drug_2_name,smiles_1,smiles_2,interaction_label
MTK458,NADH,FC(F)(F)C1=CC2=C(N1)N=CN=C2N[C@@H]3CCCC4=C3C=CC=C4,O[C@@H]1[C@H](O)[C@H](O[C@H]1N1C=CCC(=C1)C(=O)N)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)O)O,0
BIBP3226,compound 19a [PMID: 21855335],O=C([C@H](NC(=O)C(c1ccccc1)c1ccccc1)CCCN=C(N)N)NCc1ccc(cc1)O,Clc1cc(ccc1C(=O)N1CCNCC1(C)C)Nc1nc(cn2c1ncc2c1c[nH]nc1)C1CC1,0
NADH,MS40,O[C@@H]1[C@H](O)[C@H](O[C@H]1N1C=CCC(=C1)C(=O)N)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)O)O,CN1CCN(CC1)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)c1cc(CN2CCN(CCNC(=O)CCCCCCCNc3c4C(=O)N(C5CCC(=O)NC5=O)C(=O)c4ccc3)CC2)ccc1,0
BX-795,AM095,O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCCNC(=O)c1cccs1)I,OC(=O)Cc1ccc(cc1)c1ccc(cc1)c1onc(c1NC(=O)O[C@@H](c1ccccc1)C)C,1
BLI-489 free acid,15S-HETE,O=C1/C(=C/c2cn3c(n2)COCC3)/[C@@H]2N1C(=CS2)C(=O)O,CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O,0
acoramidis,para-coumaric acid,CC1=C(C(=NN1)C)CCCOC2=C(C=CC(=C2)C(=O)O)F,OC(=O)/C=C/c1ccc(cc1)O,0
BIBP3226,guaifenesin,O=C([C@H](NC(=O)C(c1ccccc1)c1ccccc1)CCCN=C(N)N)NCc1ccc(cc1)O,OCC(COc1ccccc1OC)O,0
NIC-0102,avacopan,OB([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(F)cccc1F)O,O=C([C@H]1CCCN([C@H]1c1ccc(cc1)NC1CCCC1)C(=O)c1c(C)cccc1F)Nc1ccc(c(c1)C(F)(F)F)C,0
WLL-vs,levosalbutamol,CC(C[C@@H](C(=O)N[C@@H](CC(C)C)/C=C/S(=O)(=O)C)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CN1CCOCC1)C,OCc1cc(ccc1O)[C@H](CNC(C)(C)C)O,0
lapatinib,compound 5b [PMID: 29457898],Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1ccc(o1)CNCCS(=O)(=O)C,C/C(=C\COP(=O)(N[C@H](C(=O)OCc1ccccc1)C)Oc1ccccc1)/CO[Si](C(C)(C)C)(C)C,0
[<sup>3</sup>H]digoxin,[<sup>18</sup>F]FMBP,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)[C@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,CC1=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC3=CC=C(OCC[18F])C=C3)=CC=C1F,0
AC430,compound 10 [PMID: 15482908],Fc1ccc(cc1)[C@H](c1nc(Nc2n[nH]c(c2)C)c2c(n1)cccc2)O,N#Cc1cc(F)cc(c1)n1nnc(n1)c1[nH]cc(n1)C,0
3-pyridine-acetic acid,compound 25 [PMID: 32687365],OC(=O)Cc1cccnc1,OC(=O)Cc1ccc(cc1)NCc1ccc(cc1Cl)OCc1c(onc1c1c(Cl)cccc1Cl)C(C)C,0
compound 12 [PMID: 27448772],tebipenem pivoxil,CN1CCN(CC1)C(=O)c1cccc(c1OC(C)C)NC(=O)c1csc2c1nc[nH]c2=O,C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)OCOC(=O)C(C)(C)C)SC1CN(C1)C1=NCCS1)O,0
purmorphamine,laropiprant,C1CCC(CC1)n1cnc2c1nc(nc2Nc1ccc(cc1)N1CCOCC1)Oc1cccc2c1cccc2,OC(=O)C[C@H]1CCc2c1n(Cc1ccc(cc1)Cl)c1c2cc(cc1S(=O)(=O)C)F,0
MRS2698,compound 10 [PMID: 15482908],O[C@@H]1[C@@H](COP(=O)(OP(=O)(OP(=O)(O)O)O)O)O[C@H]([C@@H]1N)n1ccc(=O)[nH]c1=S,N#Cc1cc(F)cc(c1)n1nnc(n1)c1[nH]cc(n1)C,0
BRL 44408,laduviglusib,CC1N(CC2=NCCN2)Cc2c1cccc2,N#Cc1ccc(nc1)NCCNc1ncc(c(n1)c1ccc(cc1Cl)Cl)c1ncc([nH]1)C,0
TD-8954,oseltamivir,COC(=O)N1CCC(CC1)CN1CCC(CC1)CNC(=O)c1cccc2c1nc([nH]2)C(C)C,CCOC(=O)C1=C[C@H]([C@@H]([C@H](C1)N)NC(=O)C)OC(CC)CC,1
fluvoxamine,dasatinib,NCCO/N=C(/c1ccc(cc1)C(F)(F)F)\CCCCOC,OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl,0
maresin 1,avacopan,CC/C=C\C/C=C\C[C@@H](/C=C/C=C/C=C/[C@@H](C/C=C\CCC(=O)O)O)O,O=C([C@H]1CCCN([C@H]1c1ccc(cc1)NC1CCCC1)C(=O)c1c(C)cccc1F)Nc1ccc(c(c1)C(F)(F)F)C,0
CX549,[<sup>125</sup>I]apelin-13,OC(=O)[C@H](CCC(=O)N1CCC(CC1)Nc1nc(NCc2nnn(c2)CCCNCCCNC2CCCCC2)nc2c1cccc2)N,CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1
OTSSP167,fosizensertib,CN(CC1CCC(CC1)Nc1c(cnc2c1[nH]c(=C1C=C(Cl)C(=O)C(=C1)Cl)cc2)C(=O)C)C,P(=O)(O[C@H](CN(C(=O)C=1C=NC=C(C1)C#CC=2C=NN(C2)C(F)F)C)CC3=CC=CC=C3)(O)O,0
IC261,compound 14k [PMID: 21982499],COc1cc(OC)cc(c1C=C1C(=O)Nc2c1cccc2)OC,Clc1ccccc1Nc1nc2c(cccc2c2c1ccnc2)c1[nH]cnn1,0
AZD5672,veonetinib,CCN(C(=O)Cc1ccc(cc1)S(=O)(=O)C)C1CCN(CC1)CC[C@@H](c1cc(F)cc(c1)F)C1CCN(CC1)S(=O)(=O)C,CC1=CC2=C(N1)C=CC(=C2F)OC3=C4C=C(C(=CC4=NC=C3)OCCN5CC(C6(C5)CC6)O)OC,0
"L-779,976",[<sup>11</sup>C]-ORM-13070,NC[C@@H]1CCC[C@H](C1)CNC(=O)[C@@H]([C@H](c1c[nH]c2c1cccc2)C)NC(=O)N1CCC(CC1)n1c(=O)[nH]c2c1cccc2,[H][C@]1(CN2CCN(CC2)C3=NC=CC=C3CO[11CH3])COC4=C(O1)C=CC=C4,0
DA-302168S,dendrophenol,O=C(O)C1=CC=2N(C[C@@H]3CCO3)C(=NC2C=C1)CC4=C(F)C=C(C=C4)C5=NC(OCC6=CC=C(Cl)C7=C6OC=C7)=C(F)C=C5,COC1=CC(=CC(=C1O)OC)CCC2=CC(=C(C=C2)O)OC,0
DS2,compound 22 [PMID: 24754609],Clc1ccc(cc1)C(=O)Nc1c(nc2n1cccc2)c1cccs1,CCCn1cnc(c1)CCNC(=O)Nc1nc2c(s1)cc(cc2)c1cncc(c1)OC,0
compound 83 [PMID: 23888932],branebrutinib,COc1cc(F)c(c(c1)F)C(=O)Nc1cc(Br)cc2c1oc(cc2=O)C(=O)O,CC#CC(=O)N[C@H]1CCCN(C1)c1c(F)cc(c2c1c(C)c([nH]2)C)C(=O)N,0
TP-6076,[<sup>11</sup>C]-ORM-13070,CCN(CC)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)[C@@H]5CCCN5)C(F)(F)F,[H][C@]1(CN2CCN(CC2)C3=NC=CC=C3CO[11CH3])COC4=C(O1)C=CC=C4,0
CHR-3996,zavegepant,ONC(=O)c1cnc(nc1)N1C[C@@H]2[C@H](C1)[C@H]2NCc1ccc2c(n1)ccc(c2)F,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)N1CCC(CC1)c1cc2ccccc2[nH]c1=O)Cc1cc(C)c2c(c1)cn[nH]2,0
camonsertib,alemcinal,C[C@@H]1COCCN1c1nc2c(cnn2c2ccn[nH]2)c(c1)C1(C[C@H]2CC[C@@H](C1)O2)O,CCN([C@H]1C[C@@H](C)O[C@H]([C@@H]1O)O[C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)C[C@](C2)(C)OC)[C@@H](C)C(=O)O[C@@H]([C@@H]([C@@H]([C@H](C2=C(C[C@@]1(C)O2)C)C)O)C)CC)C,0
SCH 37370,compound 58 [PMID: 21273063],Clc1ccc2c(c1)CCc1c(C2=C2CCN(CC2)C(=O)C)nccc1,Clc1cnc(nc1)N1CCC(CC1)[C@H]1C[C@H]1CCOc1ccc(cn1)S(=O)(=O)C,0
BML-281,BMS-387032,ONC(=O)CCCCCCNC(=O)c1noc(c1)c1ccc(cc1)NC(=O)OC(C)(C)C,O=C(C1CCNCC1)Nc1ncc(s1)SCc1ncc(o1)C(C)(C)C,0
FP802,enavogliflozin,ClC=1C=C(C=CC1)CN(CCN)CC,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(Cc2ccc(cc2)C2CC2)c(Cl)c2c1CCO2,1
FP802,teniposide,ClC=1C=C(C=CC1)CN(CCN)CC,COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)c1cccs1,0
MRS2802,CGP 47656,O[C@H]1[C@@H](COP(=O)(C(P(=O)(O)O)(F)F)O)O[C@H]([C@H]1O)n1ccc(=O)[nH]c1=O,NCCCP(=O)(C(F)F)O,0
KIN-8741,regrelor,FC1=CC(NC(C2=C(OC)C=CN=C2)=O)=CC(F)=C1OC3=CC=NC4=CC(OC)=C(O[C@@H](C)CO)C=C43,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H]2[C@H]1O[C@H](O2)/C=C/c1ccccc1)COP(=O)(O)O,0
GW-2580,selfotel,COc1cc(ccc1OCc1ccc(cc1)OC)Cc1cnc(nc1N)N,OC(=O)[C@H]1NCC[C@H](C1)CP(=O)(O)O,0
RKI-1447,inhibitor M9 [PMID: 38236416],O=C(Nc1scc(n1)c1ccncc1)NCc1cccc(c1)O,O=C(NC1=CC=C(C(NCCCCCCC(NO)=O)=O)C=C1)N[C@]23C[C@H]4C[C@@](C[C@](C2)(C)C4)(C)C3,0
EMPA,upadacitinib,COc1ccc(cn1)N(S(=O)(=O)c1ccccc1C)CC(=O)N(Cc1cccnc1)CC,CC[C@@H]1CN(C[C@@H]1c1cnc2n1c1cc[nH]c1nc2)C(=O)NCC(F)(F)F,1
JNJ-28312141,imidaprilat,N#Cc1c[nH]c(n1)C(=O)Nc1ccc(cc1C1=CCCCC1)C1CCN(CC1)C(=O)CN(C)C,C[C@@H](C(=O)N1C(=O)N(C[C@H]1C(=O)O)C)N[C@H](C(=O)O)CCc1ccccc1,0
TP-6076,staurosporine,CCN(CC)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)[C@@H]5CCCN5)C(F)(F)F,CN[C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O,0
forsythoside B,GT2394,OC[C@@]1(O)CO[C@H]([C@@H]1O)OC[C@H]1O[C@@H](OCCc2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O,O=C(N[C@@H]1C[C@H]1c1cnc[nH]1)OCC1CCCCC1,1
moiramide B,"L-779,976",C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@@H](C(C)C)C(=O)[C@H]1[C@@H](C(=O)NC1=O)C)C2=CC=CC=C2,NC[C@@H]1CCC[C@H](C1)CNC(=O)[C@@H]([C@H](c1c[nH]c2c1cccc2)C)NC(=O)N1CCC(CC1)n1c(=O)[nH]c2c1cccc2,0
ezutromid,vericiguat,CCS(=O)(=O)c1ccc2c(c1)nc(o2)c1ccc2c(c1)cccc2,COC(=O)Nc1c(N)nc(nc1N)c1nn(c2c1cc(F)cn2)Cc1ccccc1F,1
1400W,bufexamac,NCc1cccc(c1)C/N=C(/N)\C,CCCCOc1ccc(cc1)CC(=O)NO,1
RP67580,teniposide,COc1ccccc1CC(=N)N1C[C@H]2[C@@H](C1)C(CCC2=O)(c1ccccc1)c1ccccc1,COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)c1cccs1,0
milvexian,CFT7455,C[C@@H]1CCC[C@@H](c2nccc(c2)c2c(cnn2C(F)F)NC1=O)n1cnc(cc1=O)c1c(ccc(c1)Cl)n1cc(nn1)Cl,O=c1n([C@H]2CCC(=O)NC2=O)c2ccc(Cc3ccc(CN4CCOCC4)cc3)c3cccc1c23,0
zavegepant,guaifenesin,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)N1CCC(CC1)c1cc2ccccc2[nH]c1=O)Cc1cc(C)c2c(c1)cn[nH]2,OCC(COc1ccccc1OC)O,0
CCK-4,zoligratinib,CSCCC(C(=O)NC(C(=O)NC(C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)C(Cc1c[nH]c2c1cccc2)N,Cc1nc2c([nH]1)cc(cc2)n1ncc(c1N)C(=O)c1cc2c([nH]1)cccc2,0
substance P,calphostin C,NCCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCSC)CC(C)C)Cc1ccccc1)Cc1ccccc1)CCC(=O)N)CCC(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)N,COC1=CC(=O)c2c3c1c1C(=CC(=O)c4c1c(c3c(c(c2O)OC)C[C@H](OC(=O)Oc1ccc(cc1)O)C)c(C[C@H](OC(=O)c1ccccc1)C)c(c4O)OC)OC,1
bexagliflozin,T-0509,C1CC1OCCOc1ccc(cc1)Cc1c(ccc(c1)[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)Cl,COc1cc(CCNCC(c2ccc(c(c2)O)O)O)ccc1OC,0
bradanicline,compound 43 [PMID: 34781683],O=C(c1cc2c(o1)cccc2)N[C@@H]1C2CCN([C@H]1Cc1cccnc1)CC2,CNCCNCC1=CC=CC(=C1)C2=NC(C3=C(C)ON=C3C)=C(C)C(NC4=CC=CC=C4)=N2,0
AN0128,panipenem,O=C(c1ncccc1O)OB(c1ccc(c(c1)Cl)C)c1ccc(c(c1)Cl)C,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@H]1CCN(C1)C(=N)C)O,0
BBO-10203,brimarafenib,O=C(C=C)N1[C@H](C)C2=CC(C3=C(C4=C(F)C=C(F)C=C4OCCOC)C=5SC=CC5C(C6=CC=C7N(C)N=CC7=C6)=N3)=NN2CC1,O=C1CCC=2C(=CC=NC2N1)OC=3C=CC4=C([C@@H]5[C@H](O4)[C@H]5NC(=O)NC6=C(C=C(C(=C6)F)F)F)C3,0
cytochalasin B,compound III [PMID: 24045148],C[C@@H]1CCC[C@@H](O)/C=C/C(=O)O[C@@]23[C@@H](/C=C/C1)[C@H](O)C(=C)[C@H]([C@H]3[C@@H](NC2=O)Cc1ccccc1)C,O=C(C1CCN(CC1)c1nc2c(n1C(C)C)cc(c(c2)C)C)NC1CCCC1,0
AP811,AZD3463,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C@H](CC)C)CCCNC(=N)N)CC(=O)O)NC(=O)[C@@H](NC(=O)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)cccc2)CCCNC(=N)C)C,COc1cc(ccc1Nc1ncc(c(n1)c1c[nH]c2c1cccc2)Cl)N1CCC(CC1)N,0
BX-795,squalamine,O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCCNC(=O)c1cccs1)I,NCCCCNCCCN[C@H]1CC[C@]2([C@H](C1)C[C@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CC[C@H](C(C)C)OS(=O)(=O)O)C)C)O)C,0
seviteronel,AP811,CC(C)[C@](C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C@H](CC)C)CCCNC(=N)N)CC(=O)O)NC(=O)[C@@H](NC(=O)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)cccc2)CCCNC(=N)C)C,0
compound 21 [PMID: 21185185],LUF7602,C[C@@H]1CCC(=C(C1)NC(=O)[C@H](Cc1onc(n1)c1ccc(cn1)F)N)C(=O)O,CCCn1c(=O)c2n3ccc(cc3nc2n(c1=O)CCCCNC(=O)c1ccc(cc1)S(=O)(=O)F)OC,0
zoliflodacin,7&alpha;-F-ginkgolide B,C[C@H]1O[C@@H](C)[C@H]2N(C1)c1c(CC32C(=O)NC(=O)NC3=O)cc2c(c1F)onc2N1[C@@H](C)COC1=O,O=C1O[C@@H]2[C@@](C1C)(O)[C@]13C4(C2O)C(OC3=O)C(C(C24C(O1)OC(=O)[C@@H]2O)C(C)(C)C)F,1
compound 19 [PMID: 33979649],panipenem,CN1CCN(CC1)C(=O)Nc1cc(CNC(=O)C2CCN(CC2)[C@@H](c2cccc3c2cccc3)C)cc(c1)F,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)S[C@H]1CCN(C1)C(=N)C)O,0
ceforanide,GW583340,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)Cc1ccccc1CN)C(=O)O)CSc1nnnn1CC(=O)O,Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1csc(n1)CNCCS(=O)(=O)C.Cl.Cl,0
compound 21 [PMID: 21185185],MRS1132,C[C@@H]1CCC(=C(C1)NC(=O)[C@H](Cc1onc(n1)c1ccc(cn1)F)N)C(=O)O,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,0
[<sup>3</sup>H]citalopram,temafloxacin,N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,CC1NCCN(C1)c1cc2n(cc(c(=O)c2cc1F)C(=O)O)c1ccc(cc1F)F,0
TD-8954,VU0155041,COC(=O)N1CCC(CC1)CN1CCC(CC1)CNC(=O)c1cccc2c1nc([nH]2)C(C)C,O=C([C@H]1CCCC[C@H]1C(=O)O)Nc1cc(Cl)cc(c1)Cl,1
[<sup>3</sup>H]<i>N</i>-methylspiperone,7&alpha;-F-ginkgolide B,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(C2=O)C)c1ccccc1,O=C1O[C@@H]2[C@@](C1C)(O)[C@]13C4(C2O)C(OC3=O)C(C(C24C(O1)OC(=O)[C@@H]2O)C(C)(C)C)F,1
entospletinib,AZD3463,O1CCN(CC1)c1ccc(cc1)Nc1nc(cn2c1ncc2)c1ccc2c(c1)[nH]nc2,COc1cc(ccc1Nc1ncc(c(n1)c1c[nH]c2c1cccc2)Cl)N1CCC(CC1)N,0
3-pyridine-acetic acid,&beta;-endorphin,OC(=O)Cc1cccnc1,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)[C@@H](C)O)C(C)C)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)O)C(C)C)[C@@H](C)CC,1
UBP310,epicatechin gallate,N[C@H](C(=O)O)Cn1cc(C)c(=O)n(c1=O)Cc1ccsc1C(=O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,0
MRS1132,GR 63799,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,O[C@H](CO[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)Oc1ccc(cc1)NC(=O)c1ccccc1)COc1ccccc1,0
FP802,picotamide,ClC=1C=C(C=CC1)CN(CCN)CC,COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1,0
DSM502,ancriviroc,O=C(c1[nH]cc(c1C)Cc1ccc(nc1)C(F)(F)F)NC1CC1,CCO/N=C(\c1ccc(cc1)Br)/C1CCN(CC1)C1(C)CCN(CC1)C(=O)c1c(C)cc[n+](c1C)[O-],0
CHMFL-KIT-8140,compound 83 [PMID: 23888932],CCC(=O)NCC1CCN(CC1)c1ccc(cc1C(F)(F)F)NC(=O)Nc1cccc(c1)Oc1cnc2c(c1)cc(c(c2)OC)OC,COc1cc(F)c(c(c1)F)C(=O)Nc1cc(Br)cc2c1oc(cc2=O)C(=O)O,0
PSB-17365,ML1-SA1,Brc1ccc(cc1)CCNc1cc(=O)[nH]c(=O)[nH]1,CC1CC(C)(C)N(C(=O)CN2C(=O)c3c(C2=O)c(Cl)c(Cl)c(Cl)c3Cl)c2ccccc12,0
"compound 16d [Tao <i>et al.</i>, 2009]",[<sup>3</sup>H]RS 57639,Cn1nc2c(c1)c1c3C(=O)NCc3c3c(c1CC2)n(C(C)C)c1c3cc(cc1)Oc1ncccn1,COc1cc(N)c(cc1C(=O)OCC1CCN(CC1)CCCc1ccc2c(c1)OCCO2)Cl,0
[<sup>3</sup>H]citalopram,BMS-387032,N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,O=C(C1CCNCC1)Nc1ncc(s1)SCc1ncc(o1)C(C)(C)C,0
[<sup>125</sup>I]SB258585,CLUL1 (52-77),COc1ccc(cc1N1CCN(CC1)C)NS(=O)(=O)c1ccc(cc1)[125I],NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)[C@H](O)C)CO)CCSC)CC(C)C)CC(=O)N)[C@H](O)C)Cc1c[nH]cn1)CCC(=O)O)CCCCN)CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H](N)C)CC(C)C)CCCCN)CCC(=O)N)CCSC)CCCCN)CCSC)CCSC)CCC(=O)O)CCCN=C(N)N,0
CHR-3996,OTSSP167,ONC(=O)c1cnc(nc1)N1C[C@@H]2[C@H](C1)[C@H]2NCc1ccc2c(n1)ccc(c2)F,CN(CC1CCC(CC1)Nc1c(cnc2c1[nH]c(=C1C=C(Cl)C(=O)C(=C1)Cl)cc2)C(=O)C)C,0
CHR-3996,CCK-4,ONC(=O)c1cnc(nc1)N1C[C@@H]2[C@H](C1)[C@H]2NCc1ccc2c(n1)ccc(c2)F,CSCCC(C(=O)NC(C(=O)NC(C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)C(Cc1c[nH]c2c1cccc2)N,0
"compound 16d [Tao <i>et al.</i>, 2009]",brimarafenib,Cn1nc2c(c1)c1c3C(=O)NCc3c3c(c1CC2)n(C(C)C)c1c3cc(cc1)Oc1ncccn1,O=C1CCC=2C(=CC=NC2N1)OC=3C=CC4=C([C@@H]5[C@H](O4)[C@H]5NC(=O)NC6=C(C=C(C(=C6)F)F)F)C3,0
GW-2580,OTSSP167,COc1cc(ccc1OCc1ccc(cc1)OC)Cc1cnc(nc1N)N,CN(CC1CCC(CC1)Nc1c(cnc2c1[nH]c(=C1C=C(Cl)C(=O)C(=C1)Cl)cc2)C(=O)C)C,0
bortezomib,meptazinol,CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)C,CCC1(CCCCN(C1)C)c1cccc(c1)O,1
sibutramine,compound 11r [PMID: 32045235],CC(CC(C1(CCC1)c1ccc(cc1)Cl)N(C)C)C,O=C(N[C@H](C(=O)N[C@H](C(=O)C(=O)NCc1ccccc1)C[C@@H]1CCNC1=O)CC1CCCCC1)/C=C/c1ccccc1,0
avibactam tomilopil,imbutamine,CCOC(=O)C(C)(C)COS(=O)(=O)ON1[C@@H]2CC[C@H](N(C2)C1=O)C(=O)N,NCCCCc1cnc[nH]1,0
S9947,GDC-0134,O=C(NCc1ccccc1c1ccccc1C(=O)NCCc1ccccn1)OCc1ccccc1,FC(Oc1cc(cnc1N)c1cc(nc(n1)N1CCC(C1)(F)F)N1C[C@@H]2C[C@H]1CO2)F,0
compound 52 [PMID: 28541707],[<sup>3</sup>H]zolpidem,N#Cc1ccc(cc1N1CCN(C(C1=O)(C)C)C(=O)C)c1cc(c2n1ncnc2N)C(F)(F)F,Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C,0
ALRT 1550,vertilmicin,C/C(=C\C=C\C(=C\C(=O)O)\C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,CCN[C@@H]1C[C@H](N)[C@H]([C@@H]([C@H]1O[C@H]1OC[C@]([C@@H]([C@H]1O)NC)(C)O)O)O[C@H]1OC(=CC[C@H]1N)C(N)C,0
